timestamp,calibration_percent,is_artifacted_sequence,mental_param_1,mental_param_2,mental_param_3,spectral_delta,spectral_theta,spectral_alpha,spectral_beta,spectral_gamma,attention_state
2025-05-19T13:32:39.729160,100,0,24.79065988,0,48.46068121,0,0.111103503,0.431101411,0.457795086,0,Neutral
2025-05-19T13:32:39.776827,100,0,24.95343523,0,48.53976315,0,0.110826826,0.432172188,0.457000986,0,Neutral
2025-05-19T13:32:39.831076,100,0,25.27829738,0,48.6975925,0,0.110236506,0.434527306,0.455236188,0,Neutral
2025-05-19T13:32:39.954113,100,0,25.43890672,0,48.77562212,0,0.109911496,0.435833218,0.454255286,0,Neutral
2025-05-19T13:32:39.958782,100,0,25.59727218,0,48.85256158,0,0.109594966,0.437211068,0.453193966,0,Neutral
2025-05-19T13:32:39.963181,100,0,25.75250241,0,48.92797783,0,0.109271803,0.4386802,0.452047997,0,Neutral
2025-05-19T13:32:39.967631,100,0,25.90354206,0,49.00135816,0,0.108938829,0.44023421,0.450826961,0,Neutral
2025-05-19T13:32:40.014944,100,0,26.04934029,0,49.07219202,0,0.108625125,0.441866252,0.449508623,0,Neutral
2025-05-19T13:32:40.074025,100,0,26.18879584,0,49.13994439,0,0.108279921,0.443613403,0.448106677,0,Neutral
2025-05-19T13:32:40.076991,100,0,26.32103798,0,49.20419222,0,0.107935534,0.445451047,0.446613419,0,Neutral
2025-05-19T13:32:40.134335,100,0,26.44497535,0,49.26440532,0,0.107626998,0.447369822,0.445003181,0,Neutral
2025-05-19T13:32:40.137656,100,0,26.55945855,0,49.32002525,0,0.107386863,0.449334389,0.443278748,0,Neutral
2025-05-19T13:32:40.197293,100,0,26.66335922,0,49.37050382,0,0.107187154,0.451377319,0.441435527,0,Neutral
2025-05-19T13:32:40.254318,100,0,26.75554843,0,49.41529255,0,0.107029499,0.453491618,0.439478883,0,Neutral
2025-05-19T13:32:40.257676,100,0,26.83491872,0,49.4538534,0,0.106915969,0.455676762,0.437407269,0,Neutral
2025-05-19T13:32:40.313853,100,0,26.9003102,0,49.48562286,0,0.106869413,0.457921649,0.435208938,0,Neutral
2025-05-19T13:32:40.374356,100,0,26.95052607,0,49.51001948,0,0.106778897,0.460299974,0.432921129,0,Neutral
2025-05-19T13:32:40.434543,100,0,26.9844659,0,49.52650864,0,0.106737802,0.462752662,0.430509536,0,Neutral
2025-05-19T13:32:40.437741,100,0,27.00123525,0,49.53465577,0,0.106742511,0.465268988,0.427988501,0,Neutral
2025-05-19T13:32:40.555775,100,0,26.99984945,0,49.5339825,0,0.106789173,0.467862391,0.425348436,0,Neutral
2025-05-19T13:32:40.561898,100,0,26.97954858,0,49.52411963,0,0.106873111,0.470525742,0.422601147,0,Neutral
2025-05-19T13:32:40.565709,100,0,26.93953376,0,49.50467903,0,0.107023011,0.473229538,0.41974745,0,Neutral
